ID,Module,Submodule,Mode,Layer,Capability,Scenario / child function,Expected behavior,Local status,Local evidence,Target status,Target evidence,Confidence,Risk,Priority,Owner,Next verification,Last verified,Notes
AUTH-001,auth,owner registration,WEB + API,API + DB,Workspace bootstrap,Register owner and workspace,Registration creates user workspace and owner membership atomically,PASS,"src/modules/auth/auth.routes.ts; src/tests/api.test.ts",PASS,"docs/operations/v1-release-readiness.md; protected production smoke",High,Access and ownership boundary,P0,Backend,Keep in integration and release smoke,2026-05-10,
AUTH-002,auth,owner login,WEB + API,API,Login,Valid credentials,Owner receives bearer token and auth context,PASS,"src/modules/auth/auth.routes.ts; src/tests/api.test.ts",PASS,"docs/operations/v1-release-readiness.md",High,Access control,P0,Backend,Keep login in smoke,2026-05-10,
AUTH-003,auth,current user,API,API,Session introspection,GET /auth/me,Authenticated caller sees safe user and workspace context,PASS,"src/modules/auth/auth.routes.ts",COVERED_LOCAL,"covered by connection/auth flow; no separate latest target proof",Medium,Operator support,P1,Backend,Add explicit /auth/me smoke only if auth changes,2026-05-10,
AUTH-004,auth,workspace guardrails,API,API + DB,Cross-workspace isolation,Protected reads and writes resolve workspace from auth,COVERED_LOCAL,"src/auth/api-key.middleware.ts; src/tests/api.test.ts",PARTIAL,"Production smoke uses one workspace; no multi-workspace target sample",Medium,Data leakage,P0,Backend + QA,Add disposable multi-workspace local regression scenario,2026-05-10,
KEY-001,api keys,service keys,WEB + API,API + DB,Create scoped service key,Owner creates one-time raw service key with scopes/profile,PASS,"src/modules/api-keys/api-keys.routes.ts; AGRUN-005",PASS,"production Agent CRUD smoke noted in docs/operations/v1-operator-handoff.md",High,Agent access and secret handling,P0,Backend,Keep API key creation in protected smoke,2026-05-10,
KEY-002,api keys,mcp profiles,WEB + API,API + UI,MCP profile selection,Owner loads canonical profiles and creates profile key,PASS,"src/auth/agent-key-profiles.ts; web/src/main.tsx; MCP-003 MCP-004",COVERED_LOCAL,"No latest production UI proof after React areas work",Medium,Wrong agent permissions,P1,Backend + Frontend,Run /settings/api profile UI smoke before next release,2026-05-10,
KEY-003,api keys,capability enforcement,API,API,Scoped key deny/allow,Service key only accesses routes allowed by scopes,PASS,"src/auth/capabilities.ts; src/tests/api.test.ts; AGRUN-002",PASS,"Agent CRUD production smoke returned scoped capabilities",High,Unauthorized agent writes,P0,Backend,Keep denied-route tests current,2026-05-10,
MCP-001,mcp,manifest,API,API,MCP manifest,GET /v1/mcp/manifest exposes capability-scoped tool catalog,PASS,"src/modules/mcp/mcp.routes.ts; src/mcp/manifest.ts; MCP-001",PASS,"MCP-005 smoke harness with profile-created key",High,Agent tool discovery,P0,Backend,Run npm run mcp:smoke before agent rollout,2026-05-10,
MCP-002,mcp,stdio bridge,AGENT,script + API,MCP bridge server,Bridge lists tools and calls CompanyCore HTTP API,PASS,"scripts/companycore-mcp-server.mjs; scripts/companycore-mcp-smoke.mjs",COVERED_LOCAL,"MCP smoke documented; target runtime key must be rerun per deployment",High,Agents bypassing policy boundary,P0,Backend + Ops,Run target MCP smoke with final service key,2026-05-10,
MCP-003,mcp,runtime setup,DOCS,docs,Agent runtime onboarding,Codex/Paperclip/generic MCP setup is documented,PASS,"docs/operations/mcp-agent-runtime-setup.md",NOT_APPLICABLE,"Documentation artifact only",High,Operator misconfiguration,P1,Docs,Update when profile list or bridge env changes,2026-05-10,
CONN-001,connection,agent contract,API,API,Connection discovery,GET /v1/connection returns workspace capabilities integrations operating model and MCP manifest,PASS,"src/modules/connection/connection.routes.ts; AGRUN-003",PASS,"Protected production connection smoke in v1 readiness docs",High,Agent capability discovery,P0,Backend,Keep in smoke,2026-05-10,
CONN-002,connection,route metadata,API,API,Machine-readable API contract,Agents can inspect route payload and error metadata,PASS,"src/auth/capabilities.ts; AGRUN-003",COVERED_LOCAL,"No latest target sample after MCP additions",Medium,Agents guessing payloads,P1,Backend,Sample manifest route metadata in next MCP smoke,2026-05-10,
CCOS-DEF-001,company-os,definition graph,DB + API,DB,Process pipeline procedure model,Stage 1 Company OS definitions exist and are seeded,PASS,"prisma/schema.prisma; prisma/seed.ts; CCOS-001",COVERED_LOCAL,"No production proof after 2026-05-09 Company OS expansion",High,Company OS foundation,P0,DB + Backend,Run target /v1/company-os smoke after deploy,2026-05-10,
CCOS-DEF-002,company-os,roles and accountability,DB + API,DB,Role catalog,Human agent and system roles exist for process ownership,PASS,"CompanyRole model; prisma/seed.ts",COVERED_LOCAL,"Local seed evidence only",Medium,Unowned automation,P1,Product + Backend,Add accountable-role integrity smoke,2026-05-10,
CCOS-DEF-003,company-os,adapter abstraction,DB + API,DB,Tool adapters and capabilities,Providers declare capabilities and risk/approval metadata,PASS,"ToolAdapter and IntegrationCapability models; CCOS-001",COVERED_LOCAL,"No target adapter catalog smoke after Stage 1",High,Provider-specific hardcoding,P1,Backend,Verify /v1/company-os toolAdapters collection in target,2026-05-10,
CCOS-API-001,company-os,read cockpit,WEB + API,API + UI,Company OS cockpit,Owner sees definitions runtime governance attention and evidence,PASS,"src/modules/company-os/company-os.routes.ts; web/src/main.tsx; CCOS-005",COVERED_LOCAL,"Local React checks; no latest production React cockpit proof",Medium,Operator visibility,P1,Frontend + Backend,Run target /react-company-os smoke after deploy,2026-05-10,
CCOS-API-002,company-os,collection reads,API + UI,API + UI,Collection drilldown,Company OS collections and details are readable without raw CRUD,PASS,"CCOS-006; CCOS-007; web/src/main.tsx",COVERED_LOCAL,"Local route checks only",Medium,Agent and operator context gaps,P1,Frontend + Backend,Add collection detail to target smoke,2026-05-10,
CCOS-AGENT-001,company-os,agent context,WEB + API,UI + API,Agent operating packet,Agent panel shows tasks pipelines procedures tools policies criteria approvals,PASS,"CCOS-008; web/src/main.tsx",COVERED_LOCAL,"Local evidence only",High,Agents lack context,P1,Frontend + Backend,Run target MCP plus UI agent-context smoke,2026-05-10,
APPROVAL-001,company-os,approval request,API + UI,API + UI,Request approval,Command creates pending approval event and audit evidence,PASS,"CCOS-010; CCOS-011; src/modules/company-os/company-os.routes.ts; V1EVID-001 Docker trace smoke",COVERED_LOCAL,"No latest target command smoke",High,Risky agent actions not gated,P0,Backend + QA,Run target command smoke after next deploy,2026-05-11,
APPROVAL-002,company-os,approval decision,API + UI,API + UI,Decide approval,Pending approval can be approved/rejected exactly once,PASS,"CCOS-010; src/tests/api.test.ts; V1EVID-001 Docker trace smoke",COVERED_LOCAL,"No latest target command smoke",High,Approval bypass or double decision,P0,Backend + QA,Add idempotency target-safe sample after deploy,2026-05-11,
STAGE-001,company-os,stage start,API + UI,API + UI,Start stage,Stage lifecycle command starts or resumes stage run with event/audit evidence,PASS,"CCOS-013; CCOS-014; shared command functions; V1EVID-001 Docker trace smoke",COVERED_LOCAL,"No target sample after extraction",High,Workflow execution integrity,P0,Backend + QA,Run target lifecycle smoke after next deploy,2026-05-11,
STAGE-002,company-os,stage block,API + UI,API + UI,Block stage,Stage can be blocked with reason logs event and audit evidence,PASS,"CCOS-013; CCOS-014; existing integration test covers block; V1EVID-001 Docker trace smoke covers adjacent lifecycle readback",COVERED_LOCAL,"No target block sample after CCOS expansion",High,Blocked work not visible,P1,Backend + Frontend,Include block scenario in target lifecycle smoke,2026-05-11,
STAGE-003,company-os,stage validate,API + UI,API + UI,Validate stage,Validation and acceptance evidence can be recorded without completing stage,PASS,"CCOS-013; CCOS-014; V1EVID-001 Docker trace smoke",COVERED_LOCAL,"No target validate sample after CCOS expansion",High,Quality gates bypassed,P0,Backend + QA,Run target lifecycle smoke after next deploy,2026-05-11,
STAGE-004,company-os,stage complete,API + UI,API + UI,Complete stage,Completion requires valid status criteria and approval when needed,PASS,"CCOS-013; CCOS-014; CCOS-019; V1EVID-001 Docker trace smoke",COVERED_LOCAL,"No target complete sample after CCOS expansion",High,Workflow closes unsafely,P0,Backend + QA,Run fail-closed completion checks before unsupervised automation,2026-05-11,
AUTO-001,company-os,automation evaluator,API + UI,API + UI,Evaluate automation rules,Dry-run and execute evaluate event-triggered rules and create proposal evidence,PASS,"CCOS-016; CCOS-017; V1EVID-001 Docker trace smoke",COVERED_LOCAL,"No target event evaluator smoke after CCOS-020",High,Automation bypasses governance,P0,Backend + QA,Run evaluator dry-run and execute smoke after next deploy,2026-05-11,
AUTO-002,company-os,lifecycle proposals,API,API,Automation lifecycle execution,Automation proposals reuse shared stage command functions,PASS,"CCOS-019; CCOS-020; existing integration test covers lifecycle proposal execution; V1EVID-001 covers evaluator event/audit chain",COVERED_LOCAL,"No target sample after shared service extraction",High,Duplicate transition logic,P0,Backend,Add target-safe automation lifecycle sample before unsupervised agent rollout,2026-05-11,
EVENT-001,events,event stream,API + DB,API + DB,Event recording,Significant actions leave workspace-scoped events with correlation metadata,PASS,"src/modules/events/event.service.ts; CCOS tasks; V1EVID-001 Docker trace smoke verified /v1/events readback",COVERED_LOCAL,"Production v1 ClickUp/Paperclip events proven; Company OS expansion target proof pending",High,No observable workflow history,P0,Backend,Sample Company OS event stream after deploy,2026-05-11,
AUDIT-001,company-os,audit log,API + DB,DB,Audit evidence,Lifecycle and automation actions append durable audit log entries,PASS,"AuditLog model; src/modules/company-os/company-os.routes.ts; V1EVID-001 Docker trace smoke verified /v1/company-os/audit-logs readback",COVERED_LOCAL,"No latest target audit query after CCOS expansion",High,No durable action evidence,P0,Backend + QA,Add target audit readback after next deploy,2026-05-11,
OM-001,operating model,area catalog,DB + UI,DB + UI,Approved operating areas,Workspace has fallback plus LuckySparrow departments,PASS,"src/operating-model/catalog.ts; prisma/seed.ts; /areas smoke",PASS,"UXA-030 local Docker Playwright route-switch smoke",High,Company map missing,P0,Backend + Frontend,Keep /areas smoke current,2026-05-10,
OM-002,operating model,user area lifecycle,WEB + API,API + UI,Create/delete user area,User-created areas can be created and deleted with reassignment while system areas are protected,PASS,"src/modules/operating-model/operating-model.routes.ts; UXA-025",PASS,"UXA-025 focused Docker Playwright lifecycle smoke",High,Operator cannot correct model safely,P0,Frontend + Backend,Keep lifecycle smoke before route changes,2026-05-10,
OM-003,operating model,folder lifecycle,API,API,Operating folder CRUD,Folder lifecycle APIs exist and are workspace scoped,PASS,"src/modules/operating-model/operating-model.routes.ts; AGCRUD-004; V1EVID-002 Docker registry smoke",COVERED_LOCAL,"No latest target folder lifecycle sample",High,Incomplete registry lifecycle,P1,Backend,Run target folder lifecycle sample only after next deploy or contract change,2026-05-11,
OM-004,operating model,storage lifecycle,API,API,Storage location CRUD,Storage locations can be managed through scoped lifecycle routes,PASS,"src/modules/operating-model/operating-model.routes.ts; AGCRUD-004; V1EVID-002 Docker registry smoke",COVERED_LOCAL,"No latest target storage lifecycle sample",High,Storage registry drift,P1,Backend,Run target storage lifecycle sample only after next deploy or contract change,2026-05-11,
OM-005,operating model,knowledge roots lifecycle,API,API,Knowledge root CRUD,Knowledge roots can be managed through scoped lifecycle routes,PASS,"src/modules/operating-model/operating-model.routes.ts; AGCRUD-004; V1EVID-002 Docker registry smoke",COVERED_LOCAL,"No latest target knowledge-root lifecycle sample",High,Knowledge mapping gaps,P1,Backend,Run target knowledge-root lifecycle sample only after next deploy or contract change,2026-05-11,
OM-006,operating model,automation definitions lifecycle,API,API,Automation definition CRUD,Automation definitions can be managed through scoped lifecycle routes,PASS,"src/modules/operating-model/operating-model.routes.ts; AGCRUD-004; V1EVID-002 Docker registry smoke",COVERED_LOCAL,"No latest target automation-definition lifecycle sample",High,Automation registry drift,P1,Backend,Run target automation-definition lifecycle sample only after next deploy or contract change,2026-05-11,
OM-007,operating model,provider scope mapping,WEB + API,API + UI,Move provider mappings,Provider containers can be assigned and reassigned to operating areas,PASS,"operating-model external mapping scope route; UXA-023 UXA-028",PASS,"UXA-028 API readback smoke",High,Agent context points to wrong area,P0,Frontend + Backend,Keep reassignment smoke for /areas,2026-05-10,
OM-008,operating model,Drive scope mapping,WEB + API,API + UI,Move Drive items,Drive items can be assigned and reassigned to operating areas,PASS,"google-drive files scope route; UXA-023 UXA-028",PASS,"UXA-028 API readback smoke",High,Knowledge files mapped wrong,P0,Frontend + Backend,Keep reassignment smoke for /areas,2026-05-10,
UI-AREAS-001,owner UI,areas canonical route,WEB,UI,Canonical operating area workbench,/areas serves React areas workbench and /react-areas remains alias,PASS,"src/app.ts; web/src/main.tsx; UXA-030",PASS,"UXA-030 Docker Playwright signed-out/signed-in smoke",High,Canonical route regression,P0,Frontend,Keep route switch smoke,2026-05-10,
UI-AREAS-002,owner UI,selected context,WEB,UI,Selected area context,Area view shows table counts record previews Drive and provider mappings,PASS,"web/src/main.tsx; web/src/react-route-kit.tsx; UXA-027",PASS,"UXA-027 Docker Playwright selected-context smoke",High,Operator loses source-of-truth map,P0,Frontend,Keep selected context smoke,2026-05-10,
UI-DASH-001,owner UI,dashboard,WEB,UI,Command dashboard,Dashboard answers current status blockers and next actions,PASS,"public/app.js; web/src/main.tsx; UXA-003 UXA-010",COVERED_LOCAL,"Owner-console UX smoke covers routes but latest dashboard canonical route remains vanilla",Medium,Operator confusion,P1,Frontend,Run owner-console:ux-smoke after major UI changes,2026-05-10,
UI-TASKS-001,owner UI,tasks workbench,WEB,UI,Task review,Task records can be reviewed and filtered in React preview and vanilla workbench,PASS,"/react-tasks; /tasks-adapter; UXA-012; V2WEB-011",COVERED_LOCAL,"No latest production UI proof after React route work",Medium,Task visibility,P1,Frontend,Decide future canonical route after parity audit,2026-05-10,
UI-INTEG-001,owner UI,integration map,WEB,UI,Integration map,Integration/provider/data-path coverage is visible with filters,PASS,"/react-integrations; /settings/integrations; UXA-014",COVERED_LOCAL,"No latest production UI proof after React route work",Medium,Integration visibility,P1,Frontend,Decide future canonical route after parity audit,2026-05-10,
UI-DATA-001,owner UI,data index,WEB,UI,Data operations index,Owner can inspect implemented tables and records,PASS,"public/app.js; V2WEB-024 V2WEB-025",COVERED_LOCAL,"2026-05-08 public marker check; no latest full UI smoke",Medium,Data operation blind spots,P1,Frontend,Run owner-console:ux-smoke after route cleanup,2026-05-10,
UI-EDIT-001,owner UI,typed editors,WEB + API,UI + API,Notes/projects/clients/task-lists/tasks editors,Owner can create edit archive key business records,PASS,"public/app.js; AGCRUD-002 AGCRUD-003 AGRUN-008",PASS,"Agent CRUD production smoke noted typed editor surfaces and business CRUD",High,Business editing gaps,P0,Frontend + Backend,Keep business CRUD smoke before release,2026-05-10,
CLICKUP-001,ClickUp,discovery,WEB + API,integration,Discover workspace/list context,Owner can discover ClickUp workspace structure,PASS,"src/modules/integration-settings/integration-settings.routes.ts; CCV1-031",PASS,"v1 release readiness and historical production bootstrap",High,First integration setup,P0,Integration,Run discover only when token changes,2026-05-10,
CLICKUP-002,ClickUp,first import,WEB + API,integration + DB,Import tasks,Selected ClickUp lists import idempotently under explicit policy,PASS,"src/integrations/clickup/clickup.sync.ts; CCV1-035",PASS,"v1 release readiness: 219 tasks, 0 duplicates",High,Operational task source,P0,Integration,Keep maintenance inspect_only smoke,2026-05-10,
CLICKUP-003,ClickUp,webhook registration,API,integration,Register and reconcile webhooks,Selected lists have durable webhook registration and health,PASS,"src/integrations/clickup/clickup.webhooks.ts; CCV1-036B",PASS,"v1 readiness: 21 webhooks",High,Freshness and event triggers,P0,Integration,Run reconcile smoke after token/list changes,2026-05-10,
CLICKUP-004,ClickUp,webhook ingestion,API,integration + worker,Signed webhook receiver,ClickUp signed events are verified stored deduped and processed,PASS,"src/modules/webhooks/clickup-webhooks.routes.ts; ProviderEventInbox model",PASS,"v1 live smoke and maintenance evidence",High,Provider spoofing or stale tasks,P0,Integration + Security,Keep signature and inbox tests current,2026-05-10,
CLICKUP-005,ClickUp,maintenance,API + scheduler,integration + worker,Maintenance freshness,Maintenance retries inbox rows reconciles webhooks and merge-pulls without destructive changes,PASS,"src/integrations/clickup/clickup.maintenance-scheduler.ts; clickup.webhooks.ts",PASS,"v1 readiness: scheduler enabled and 0 failed inbox rows",High,Provider drift,P0,Integration + Ops,Keep inspect_only maintenance smoke,2026-05-10,
CLICKUP-006,ClickUp,write-back,API,integration,Task write-back,CompanyCore task create/update/archive writes back safely to ClickUp when sourced/mapped,PASS,"src/integrations/clickup/clickup.webhooks.ts; tasks.routes.ts; CCV1-036G",PASS,"v1 release scope accepted",High,Two-way task drift,P0,Integration,Run target-safe write-back smoke only with approved test task,2026-05-10,
CLICKUP-007,ClickUp,comments bridge,API,integration + DB,Task comments to notes,ClickUp comments map to CompanyCore notes and CompanyCore notes can create ClickUp comments,PASS,"CCV1-043; src/integrations/clickup/clickup.webhooks.ts",COVERED_LOCAL,"Accepted runtime docs; no latest current sample",Medium,Lost task context,P1,Integration,Add comment bridge sample if comments workflow changes,2026-05-10,
DRIVE-001,Google Drive,OAuth settings,WEB + API,integration,OAuth URL and exchange,Owner can configure OAuth-backed Drive setting with encrypted secret material,PASS,"src/integrations/google-drive/google-drive.auth.ts; integration-settings routes; V2GD-003",PASS,"2026-05-14 production smoke verified OAuth active through protected Drive checks",High,Drive unavailable if OAuth credentials drift,P1,Integration + Ops,Keep OAuth smoke when Drive settings or deployment secrets change,2026-05-14,
DRIVE-002,Google Drive,folder import,WEB + API,integration + DB,Import selected folder,Selected Drive folders/files persist as workspace scoped metadata,PASS,"src/integrations/google-drive/google-drive.sync.ts; AGRUN-007",PASS,"2026-05-14 production import selected numbered roots 00-12 and returned 748 Drive items 171 folders unassignedCount=0 descendant scope mismatches=[]",High,Knowledge source drift if future imports are not smoked,P1,Integration + Ops,Keep selected-root import/readback smoke when Drive contracts change,2026-05-14,
DRIVE-003,Google Drive,content snapshots,API,integration + DB,Read Docs/Sheets content,Drive content snapshots are refreshed safely,PASS,"src/integrations/google-drive/google-drive.content.ts; V2GD-005",PARTIAL,"Production import is complete; latest audit did not sample specific Docs/Sheets content body readback",Medium,Agent knowledge stale,P1,Integration,Add a target-safe Docs/Sheets content readback sample when content quality becomes active scope,2026-05-14,
DRIVE-004,Google Drive,Docs and Sheets writes,API,integration,Create/edit Docs and Sheets,CompanyCore can create and update Docs/Sheets then refresh snapshots,PASS,"google-drive.content.ts; google-drive.routes.ts",NEEDS_TARGET_SAFE_SAMPLE,"Owner OAuth exists but latest audit did not run a target-safe Docs/Sheets write sample",Medium,Document automation unproven in production,P1,Integration,Run target-safe Docs/Sheets write smoke only with approved non-sensitive test files,2026-05-14,
DRIVE-005,Google Drive,changes reconcile,API,integration,Drive changes freshness,Changes reconcile updates local metadata/content state,PASS,"google-drive.sync.ts; V2GD-006",NEEDS_TARGET_SAMPLE,"Owner OAuth and first import exist but latest audit did not run a Drive changes reconciliation sample",Medium,External edits not visible,P1,Integration,Run changes reconcile against approved Drive scope when freshness becomes active scope,2026-05-14,
AGENT-001,agent events,Paperclip event worker,API + integration,API,Read and ack events,Paperclip can read assigned events and ack completed work,PASS,"src/modules/agent-events/agent-events.routes.ts; CCV1-047",PASS,"v1 readiness: Paperclip received created acked and pending=0",High,Agent work queue blocked,P0,Backend + Paperclip,Keep Paperclip pending queue smoke,2026-05-10,
AGENT-002,agents,agent registry,API,API + DB,Agent CRUD,Agents can be registered updated and archived safely,PASS,"src/modules/agents/agents.routes.ts; AGCRUD coverage",COVERED_LOCAL,"No latest target-specific agent registry sample",Medium,Agent accountability gaps,P1,Backend,Add agent registry row to next CRUD smoke if modified,2026-05-10,
AGENT-003,agent logs,observability,API,API + DB,Agent logs,Agents can write and read logs for execution evidence,PASS,"src/modules/agent-logs/agent-logs.routes.ts; AGRUN-004",COVERED_LOCAL,"Training smoke exists; no latest target sample",Medium,Agent observability gaps,P1,Backend,Run agent training smoke after API changes,2026-05-10,
BUS-001,business records,projects,API + UI,API + UI,Project CRUD/archive,Project records can be listed read created updated and archived,PASS,"src/modules/projects/projects.routes.ts; public/app.js typed editor",PASS,"Agent CRUD production smoke includes project/task/note path",High,Core business record management,P0,Backend + Frontend,Keep business CRUD smoke,2026-05-10,
BUS-002,business records,tasks,API + UI,API + UI,Task CRUD/archive,Tasks can be managed locally and synced/written with ClickUp when mapped,PASS,"src/modules/tasks/tasks.routes.ts; public/app.js; /react-tasks",PASS,"v1 ClickUp and Agent CRUD smoke",High,Execution record management,P0,Backend + Frontend,Keep task CRUD and ClickUp smoke,2026-05-10,
BUS-003,business records,notes,API + UI,API + UI,Note CRUD/archive,Notes can be created read updated archived and optionally bridged to ClickUp comments,PASS,"src/modules/notes/notes.routes.ts; public/app.js",PASS,"Agent CRUD production smoke created/read/updated/archived note",High,Knowledge/memory record management,P0,Backend + Frontend,Keep note smoke,2026-05-10,
BUS-004,business records,clients deals interactions,API + UI,API + UI,CRM records,Clients deals and interactions have workspace scoped lifecycle APIs and UI read/editor surfaces,PASS,"clients/deals/interactions routes; public/app.js",COVERED_LOCAL,"Local/history evidence; no latest production CRM full lifecycle smoke",Medium,CRM context gaps,P1,Backend + Frontend,Add CRM lifecycle sample if CRM becomes active lane,2026-05-10,
BUS-005,business records,goals targets decisions pipeline stages,API + UI,API + UI,Strategy and workflow records,Goals targets decisions and pipeline stages have lifecycle APIs and UI read surfaces,PASS,"goals targets decisions pipeline-stages routes; public/app.js",COVERED_LOCAL,"No latest full target sample",Medium,Strategy/workflow context gaps,P1,Backend + Frontend,Add strategy/workflow CRUD sample if lane changes,2026-05-10,
OPS-001,operations,build,LOCAL,ops,Build gate,npm run build compiles server and web,PASS,"npm run build last run 2026-05-09 during UXA-030",NOT_APPLICABLE,"Local build gate",High,Shipping broken code,P0,Engineering,Run before commit/deploy,2026-05-10,
OPS-002,operations,integration tests,LOCAL,ops,Integration test gate,npm test runs build migrations and node tests,COVERED_LOCAL,"Historical repeated npm test evidence; latest turn used build and smoke but not full npm test",NOT_APPLICABLE,"Local integration gate",Medium,Regression gaps,P0,QA,Run npm test before release commit,2026-05-10,
OPS-003,operations,Docker local runtime,LOCAL,ops,Docker build and seed,Docker compose rebuilds backend and migrations/seed pass,PASS,"UXA-030 Docker rebuild and seed",NOT_APPLICABLE,"Local container gate",High,Container deploy failure,P0,Ops,Run before deployment,2026-05-10,
OPS-004,operations,production health,TARGET,ops,Public health,Production health endpoints return expected metadata,PASS,"docs/operations/v1-operator-handoff.md",PASS,"2026-05-08 public health smoke",High,Outage detection,P0,Ops,Refresh after next deploy,2026-05-08,
OPS-005,operations,rollback,TARGET,ops,Manual rollback,Rollback preserves Postgres and redeploys previous image,PASS,"docs/operations/rollback-and-recovery.md; v1 handoff",COVERED_LOCAL,"Current VPS inventory not refreshed in 2026-05-08 due rejected shell",Medium,Recovery uncertainty,P1,Ops,Refresh VPS inventory from approved shell before next deploy,2026-05-08,
OPS-006,operations,auto deploy,TARGET,ops,GitHub to Coolify auto-deploy,Push-to-running-image automation is proven,BLOCKED,"docs/operations/v1-operator-handoff.md; known issues",BLOCKED,"GitHub webhook tooling unavailable and gh not installed",Medium,Manual deploy burden,P2,Ops,Resume when webhook admin tooling or gh exists,2026-05-10,
DOCS-001,docs,architecture,DOCS,docs,System architecture,Architecture describes source of truth data flow MCP integration and lifecycle boundaries,PASS,"docs/architecture/system-architecture.md",NOT_APPLICABLE,"Docs only",High,Wrong implementation direction,P0,Architecture,Update on any architecture-changing decision,2026-05-10,
DOCS-002,docs,control map,DOCS,docs,V1 control map,Project has unified state target blocker and next-lane map,PASS,"docs/planning/v1-architecture-control-map.md",NOT_APPLICABLE,"Docs only",High,Future circular work,P0,Planning,Update after each major audit or lane decision,2026-05-10,
DOCS-003,docs,code surface index,DOCS,docs,Code surface index,Project has route/model/UI/integration index for orientation,PASS,"docs/operations/v1-code-surface-index.md",NOT_APPLICABLE,"Docs only",High,Agents rediscover code repeatedly,P0,Planning,Update when route ownership or model groups change,2026-05-10,
DOCS-004,docs,function ledger,DOCS,docs,Function coverage ledger,Project has row-level coverage and confidence map,PASS,"docs/operations/v1-function-coverage-ledger.csv",NOT_APPLICABLE,"Docs only",High,No objective gap tracking,P0,Planning,Update rows after evidence or fixes,2026-05-10,
SEC-001,security,secrets,API + ops,API + ops,Secret handling,Integration secrets and service keys are not returned or logged as raw secrets,PASS,"integration settings service; API key one-time raw key behavior; v1 readiness docs",COVERED_LOCAL,"No latest red-team secret scan",High,Secret leakage,P0,Security,Run targeted secret/log review before production credential changes,2026-05-10,
SEC-002,security,provider errors,API,API,Safe errors,Provider/backend errors are mapped to safe client messages,PASS,"ClickUp/Drive safe error paths; frontend local notices",COVERED_LOCAL,"No latest adversarial provider failure run",Medium,Leaking provider details or bad recovery,P1,Security + QA,Add provider failure smoke when touching integrations,2026-05-10,
SEC-003,security,AI authority,AGENT + API,policy + API,Policy and approval boundary,Agent risky writes go through capabilities approvals events and audit,PASS,"Company OS approval/stage lifecycle; MCP runtime docs",COVERED_LOCAL,"No full AI red-team scenario after CCOS-020",High,Unauthorized autonomous action,P0,Security + Backend,Run AI protocol scenarios before unsupervised agent write rollout,2026-05-10,
